"Year","Geo","Footfall_in_mil"
"2012","AT","3770100.04"
"2013","AT","4007275.57"
"2014","AT","3771982.82"
"2015","AT","3965372.53"
"2016","AT","4481011.83"
"2017","AT","4305665.7"
"2012","BE","3770100.04"
"2013","BE","4007275.57"
"2014","BE","3771982.82"
"2015","BE","3965372.53"
"2016","BE","4481011.83"
"2017","BE","4305665.7"
"2012","BG","3770100.04"
"2013","BG","4007275.57"
"2014","BG","3771982.82"
"2015","BG","3965372.53"
"2016","BG","4481011.83"
"2017","BG","4305665.7"
"2012","CY","3770100.04"
"2013","CY","4007275.57"
"2014","CY","3771982.82"
"2015","CY","3965372.53"
"2016","CY","4481011.83"
"2017","CY","4305665.7"
"2012","CZ","3770100.04"
"2013","CZ","4007275.57"
"2014","CZ","3771982.82"
"2015","CZ","3965372.53"
"2016","CZ","4481011.83"
"2017","CZ","4305665.7"
"2012","DE","3770100.04"
"2013","DE","4007275.57"
"2014","DE","3771982.82"
"2015","DE","3965372.53"
"2016","DE","4481011.83"
"2017","DE","4305665.7"
"2012","DK","631165.43"
"2013","DK","617636.77"
"2014","DK","485537.46"
"2015","DK","640393.97"
"2016","DK","677097.58"
"2017","DK","611872.23"
"2012","EE","631165.43"
"2013","EE","617636.77"
"2014","EE","485537.46"
"2015","EE","640393.97"
"2016","EE","677097.58"
"2017","EE","611872.23"
"2012","ES","631165.43"
"2013","ES","617636.77"
"2014","ES","485537.46"
"2015","ES","640393.97"
"2016","ES","677097.58"
"2017","ES","611872.23"
"2012","FI","631165.43"
"2013","FI","617636.77"
"2014","FI","485537.46"
"2015","FI","640393.97"
"2016","FI","677097.58"
"2017","FI","611872.23"
"2012","FR","631165.43"
"2013","FR","617636.77"
"2014","FR","485537.46"
"2015","FR","640393.97"
"2016","FR","677097.58"
"2017","FR","611872.23"
"2012","HR","631165.43"
"2013","HR","617636.77"
"2014","HR","485537.46"
"2015","HR","640393.97"
"2016","HR","677097.58"
"2017","HR","611872.23"
"2012","HU","323538.81"
"2013","HU","364396.75"
"2014","HU","390137.25"
"2015","HU","308219.56"
"2016","HU","354179.68"
"2017","HU","530187.56"
"2012","IE","323538.81"
"2013","IE","364396.75"
"2014","IE","390137.25"
"2015","IE","308219.56"
"2016","IE","354179.68"
"2017","IE","530187.56"
"2012","IT","323538.81"
"2013","IT","364396.75"
"2014","IT","390137.25"
"2015","IT","308219.56"
"2016","IT","354179.68"
"2017","IT","530187.56"
"2012","LT","323538.81"
"2013","LT","364396.75"
"2014","LT","390137.25"
"2015","LT","308219.56"
"2016","LT","354179.68"
"2017","LT","530187.56"
"2012","LU","323538.81"
"2013","LU","364396.75"
"2014","LU","390137.25"
"2015","LU","308219.56"
"2016","LU","354179.68"
"2017","LU","530187.56"
"2012","LV","323538.81"
"2013","LV","364396.75"
"2014","LV","390137.25"
"2015","LV","308219.56"
"2016","LV","354179.68"
"2017","LV","530187.56"
"2012","MT","97706.11"
"2013","MT","178510.65"
"2014","MT","191493.84"
"2015","MT","150654.56"
"2016","MT","166880.2"
"2017","MT","189735.16"
"2012","NL","97706.11"
"2013","NL","178510.65"
"2014","NL","191493.84"
"2015","NL","150654.56"
"2016","NL","166880.2"
"2017","NL","189735.16"
"2012","PL","97706.11"
"2013","PL","178510.65"
"2014","PL","191493.84"
"2015","PL","150654.56"
"2016","PL","166880.2"
"2017","PL","189735.16"
"2012","PT","97706.11"
"2013","PT","178510.65"
"2014","PT","191493.84"
"2015","PT","150654.56"
"2016","PT","166880.2"
"2017","PT","189735.16"
"2012","RO","97706.11"
"2013","RO","178510.65"
"2014","RO","191493.84"
"2015","RO","150654.56"
"2016","RO","166880.2"
"2017","RO","189735.16"
"2012","SE","97706.11"
"2013","SE","178510.65"
"2014","SE","191493.84"
"2015","SE","150654.56"
"2016","SE","166880.2"
"2017","SE","189735.16"
"2012","SI","1549000.96"
"2013","SI","1531006.42"
"2014","SI","1402343.15"
"2015","SI","1596318.36"
"2016","SI","1847399.61"
"2017","SI","2090024.94"
"2012","SK","1549000.96"
"2013","SK","1531006.42"
"2014","SK","1402343.15"
"2015","SK","1596318.36"
"2016","SK","1847399.61"
"2017","SK","2090024.94"
