"Year","Geo","F","M"
"2012","AT","699049","656048"
"2013","AT","668575","659147"
"2014","AT","691522","656676"
"2015","AT","646733","697846"
"2016","AT","654769","709248"
"2017","AT","662971","641437"
"2012","BE","699049","656048"
"2013","BE","668575","659147"
"2014","BE","691522","656676"
"2015","BE","646733","697846"
"2016","BE","654769","709248"
"2017","BE","662971","641437"
"2012","BG","699049","656048"
"2013","BG","668575","659147"
"2014","BG","691522","656676"
"2015","BG","646733","697846"
"2016","BG","654769","709248"
"2017","BG","662971","641437"
"2012","CY","699049","656048"
"2013","CY","668575","659147"
"2014","CY","691522","656676"
"2015","CY","646733","697846"
"2016","CY","654769","709248"
"2017","CY","662971","641437"
"2012","CZ","699049","656048"
"2013","CZ","668575","659147"
"2014","CZ","691522","656676"
"2015","CZ","646733","697846"
"2016","CZ","654769","709248"
"2017","CZ","662971","641437"
"2012","DE","699049","656048"
"2013","DE","668575","659147"
"2014","DE","691522","656676"
"2015","DE","646733","697846"
"2016","DE","654769","709248"
"2017","DE","662971","641437"
"2012","DK","253310","264975"
"2013","DK","261421","228518"
"2014","DK","246259","194595"
"2015","DK","278459","221976"
"2016","DK","193040","200949"
"2017","DK","318960","312025"
"2012","EE","253310","264975"
"2013","EE","261421","228518"
"2014","EE","246259","194595"
"2015","EE","278459","221976"
"2016","EE","193040","200949"
"2017","EE","318960","312025"
"2012","ES","253310","264975"
"2013","ES","261421","228518"
"2014","ES","246259","194595"
"2015","ES","278459","221976"
"2016","ES","193040","200949"
"2017","ES","318960","312025"
"2012","FI","253310","264975"
"2013","FI","261421","228518"
"2014","FI","246259","194595"
"2015","FI","278459","221976"
"2016","FI","193040","200949"
"2017","FI","318960","312025"
"2012","FR","253310","264975"
"2013","FR","261421","228518"
"2014","FR","246259","194595"
"2015","FR","278459","221976"
"2016","FR","193040","200949"
"2017","FR","318960","312025"
"2012","HR","253310","264975"
"2013","HR","261421","228518"
"2014","HR","246259","194595"
"2015","HR","278459","221976"
"2016","HR","193040","200949"
"2017","HR","318960","312025"
"2012","HU","498268","514700"
"2013","HU","592943","603988"
"2014","HU","714012","716762"
"2015","HU","772535","763235"
"2016","HU","771807","850677"
"2017","HU","886634","934396"
"2012","IE","498268","514700"
"2013","IE","592943","603988"
"2014","IE","714012","716762"
"2015","IE","772535","763235"
"2016","IE","771807","850677"
"2017","IE","886634","934396"
"2012","IT","498268","514700"
"2013","IT","592943","603988"
"2014","IT","714012","716762"
"2015","IT","772535","763235"
"2016","IT","771807","850677"
"2017","IT","886634","934396"
"2012","LT","498268","514700"
"2013","LT","592943","603988"
"2014","LT","714012","716762"
"2015","LT","772535","763235"
"2016","LT","771807","850677"
"2017","LT","886634","934396"
"2012","LU","498268","514700"
"2013","LU","592943","603988"
"2014","LU","714012","716762"
"2015","LU","772535","763235"
"2016","LU","771807","850677"
"2017","LU","886634","934396"
"2012","LV","498268","514700"
"2013","LV","592943","603988"
"2014","LV","714012","716762"
"2015","LV","772535","763235"
"2016","LV","771807","850677"
"2017","LV","886634","934396"
"2012","MT","102344","100663"
"2013","MT","103182","85614"
"2014","MT","79782","79974"
"2015","MT","94704","96602"
"2016","MT","87808","85276"
"2017","MT","87810","82352"
"2012","NL","102344","100663"
"2013","NL","103182","85614"
"2014","NL","79782","79974"
"2015","NL","94704","96602"
"2016","NL","87808","85276"
"2017","NL","87810","82352"
"2012","PL","102344","100663"
"2013","PL","103182","85614"
"2014","PL","79782","79974"
"2015","PL","94704","96602"
"2016","PL","87808","85276"
"2017","PL","87810","82352"
"2012","PT","102344","100663"
"2013","PT","103182","85614"
"2014","PT","79782","79974"
"2015","PT","94704","96602"
"2016","PT","87808","85276"
"2017","PT","87810","82352"
"2012","RO","102344","100663"
"2013","RO","103182","85614"
"2014","RO","79782","79974"
"2015","RO","94704","96602"
"2016","RO","87808","85276"
"2017","RO","87810","82352"
"2012","SE","102344","100663"
"2013","SE","103182","85614"
"2014","SE","79782","79974"
"2015","SE","94704","96602"
"2016","SE","87808","85276"
"2017","SE","87810","82352"
"2012","SI","1634645","1542652"
"2013","SI","1646021","1506727"
"2014","SI","2008768","1798071"
"2015","SI","1855532","1766223"
"2016","SI","1828681","1795893"
"2017","SI","1752286","1708520"
"2012","SK","1634645","1542652"
"2013","SK","1646021","1506727"
"2014","SK","2008768","1798071"
"2015","SK","1855532","1766223"
"2016","SK","1828681","1795893"
"2017","SK","1752286","1708520"
